task,kind,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,overrides,model_fits,surrogate_predictions
rgv_h1,rgv,raw_linear,13506.5,1024.0,1024.0,1024.0,1.3730230064166637,1000.25,1.0,0.08312835231576982,0.0031330017290715413,0.0009193990249210166,0.8452380952380952,0.25,6.666666666666667,7.0,0.0031330017290715413,0.003133001717842892,0.0009193990226234249,0.0,0.0,119.41666666666667,15.0,5152.5
rgv_h1,rgv,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.677016483999978,1004.0833333333334,1.0,0.08499103633351761,0.0024138324455083415,0.0006019182963495917,0.8690476190476191,0.16666666666666666,6.666666666666667,7.0,0.0024138324455083415,0.0024138324356917417,0.000601918294958825,0.0,0.0,513.0,15.0,5318.833333333333
rgv_h1,rgv,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.7523227405000057,1000.4166666666666,1.0,0.0780116903663545,0.003634604056450325,0.0008237046555991167,0.8452380952380952,0.08333333333333333,6.5,7.0,0.003634604056450325,0.003634604036739691,0.000823704651980625,0.0,0.0,219.33333333333334,15.0,5210.0
rgv_h2,rgv,fast_v10,13506.5,1024.0,1024.0,1024.0,0.7870256846666545,991.4166666666666,1.0,0.10541556080862348,0.0018531338288647918,0.000605214154999975,0.8666666666666667,0.4166666666666667,4.583333333333333,5.0,0.0018531338288647918,0.0018531338221302585,0.0006052141527001334,0.0,0.0,0.0,0.0,0.0
rgv_h2,rgv,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.9776038806666634,979.9166666666666,1.0,0.0934062365745395,0.0012670902708932584,0.000418994414999975,0.9,0.5833333333333334,4.75,5.0,0.0012670902708932584,0.001267090266274375,0.00041899441340778333,0.0,0.0,197.16666666666666,15.0,4755.5
rgv_h2,rgv,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.91637194883333,988.25,1.0,0.09334262861023175,0.0013014287605883834,0.0004189944149999916,0.9166666666666666,0.5833333333333334,4.666666666666667,5.0,0.0013014287605883834,0.001301428755875275,0.00041899441340778333,0.0,0.0,168.0,15.0,4847.833333333333
rgv_h2,rgv,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.1999219143333828,1020.8333333333334,1.0,0.10548837476064264,0.0009202715236858082,0.00045799989999999164,0.8666666666666667,0.3333333333333333,4.416666666666667,5.0,0.0009202715236858082,0.0009202715213049332,0.0004579998993406417,0.0,0.0,299.8333333333333,15.0,6545.916666666667
rgv_h2,rgv,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.46086857108332424,1015.5,1.0,0.1211625675113367,0.0008788364129591508,0.00036790980999998335,0.9,0.5,4.75,5.0,0.0008788364129591508,0.0008788364105198178,0.00036790980925055836,0.0,0.0,0.0,0.0,0.0
rgv_h2,rgv,random_residual,13506.5,1024.0,1024.0,1024.0,1.3651503294166407,994.0,1.0,0.11009055975906595,0.0005517050682764,0.00018621973999998333,0.9500000000000001,0.75,4.916666666666667,5.0,0.0005517050682764,0.0005517050662549583,0.00018621973929234167,0.0,0.0,478.3333333333333,0.0,0.0
rgv_h2,rgv,raw_linear,13506.5,1024.0,1024.0,1024.0,1.6260313576666665,984.75,1.0,0.10341182164149788,0.0007153852026168501,0.00023277467499999163,0.9500000000000001,0.75,4.833333333333333,5.0,0.0007153852026168501,0.0007153852000193916,0.00023277467411543333,0.0,0.0,105.91666666666667,15.0,4786.333333333333
rgv_h2,rgv,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.9352908174166525,987.9166666666666,1.0,0.09470075838808954,0.0008857041114759667,0.00032437465499998334,0.9166666666666666,0.6666666666666666,4.75,5.0,0.0008857041114759667,0.0008857041084400167,0.0003243746539835667,0.0,0.0,438.25,15.0,4705.333333333333
rgv_h2,rgv,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.9128473271666167,979.9166666666666,1.0,0.0934062365745395,0.0012670902708932584,0.000418994414999975,0.9,0.5833333333333334,4.75,5.0,0.0012670902708932584,0.001267090266274375,0.00041899441340778333,0.0,0.0,197.16666666666666,15.0,4755.5
rgv_h3,rgv,fast_v10,13506.5,1024.0,1024.0,1024.0,0.7819668454166239,991.25,1.0,0.12298370861541415,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rgv_h3,rgv,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.9087821706666734,985.9166666666666,1.0,0.09717984089338029,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,184.33333333333334,15.0,4758.333333333333
rgv_h3,rgv,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.9076874558333354,982.3333333333334,1.0,0.09811434903701305,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,150.66666666666666,15.0,4754.75
rgv_h3,rgv,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.2294968855000168,1018.9166666666666,1.0,0.13266890015891392,0.0002860739210771083,0.0003930817604166667,0.9791666666666666,0.9166666666666666,4.0,4.0,0.0002860739210771083,0.00028607392150130833,0.00039308176100628337,0.0,0.0,287.4166666666667,15.0,6374.416666666667
rgv_h3,rgv,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.46834539783336976,1012.5,1.0,0.15456097188330645,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rgv_h3,rgv,random_residual,13506.5,1024.0,1024.0,1024.0,1.4355568032499946,996.25,1.0,0.1175769114957854,0.0002860739210771083,0.0003930817604166667,0.9791666666666666,0.9166666666666666,4.0,4.0,0.0002860739210771083,0.00028607392150130833,0.00039308176100628337,0.0,0.0,479.9166666666667,0.0,0.0
rgv_h3,rgv,raw_linear,13506.5,1024.0,1024.0,1024.0,1.5670565419166564,989.0,1.0,0.1112578564302089,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,196.83333333333334,15.0,4759.25
rgv_h3,rgv,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.9789885807500127,985.1666666666666,1.0,0.1085083681829137,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,424.5,15.0,4637.333333333333
rgv_h3,rgv,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.886985955333273,985.9166666666666,1.0,0.09717984089338029,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,184.33333333333334,15.0,4758.333333333333
rgv_h4,rgv,fast_v10,13506.5,1024.0,1024.0,1024.0,0.6860887206666652,999.25,1.0,0.1079261980277289,0.006281421084930167,0.002129038277083283,0.8472222222222222,0.16666666666666666,10.416666666666666,12.0,0.006281421084930167,0.006281421081962384,0.0021290382749287414,0.0,0.0,0.0,0.0,0.0
rgv_h4,rgv,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.617791663666651,999.5833333333334,1.0,0.10401869320017702,0.0051828879484490005,0.0025603218138888417,0.8194444444444445,0.3333333333333333,10.0,12.0,0.0051828879484490005,0.005182887944325624,0.0025603218099035413,0.0,0.0,215.58333333333334,15.0,5260.416666666667
rgv_h4,rgv,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.8092859084999873,1001.9166666666666,1.0,0.1038172874918785,0.006886259382179709,0.0015804219685839583,0.875,0.3333333333333333,10.75,12.0,0.006886259382179709,0.006886259379318009,0.0015804219660375835,0.0,0.0,183.33333333333334,15.0,5249.666666666667
rgv_h4,rgv,nsga2_guarded,13506.5,1024.0,1024.0,1024.0,1.3405304567500214,1016.6666666666666,1.0,0.09998240817468919,0.0005496966175889666,0.0005576926631944084,0.9027777777777778,0.3333333333333333,11.083333333333334,12.0,0.0005496966175889666,0.00054969661658865,0.0005576926614252749,0.0,0.0,258.9166666666667,15.0,6158.583333333333
rgv_h4,rgv,nsga2_typed,13506.5,1024.0,1024.0,1024.0,0.5027405645833293,1010.6666666666666,1.0,0.10807166407252715,0.000956474025541925,0.0009408025729166166,0.9027777777777778,0.3333333333333333,11.0,12.0,0.000956474025541925,0.0009564740241876998,0.0009408025707874666,0.0,0.0,0.0,0.0,0.0
rgv_h4,rgv,random_residual,13506.5,1024.0,1024.0,1024.0,1.2347431123333006,1008.9166666666666,1.0,0.1062117074649672,0.004491180000756275,0.001031744536111075,0.875,0.3333333333333333,10.833333333333334,12.0,0.004491180000756275,0.004491179997373459,0.0010317445334783752,0.0,0.0,545.4166666666666,0.0,0.0
rgv_h4,rgv,raw_linear,13506.5,1024.0,1024.0,1024.0,1.3196172136666366,1001.75,1.0,0.10575608141441162,0.004726081649917041,0.001973565640972175,0.8541666666666666,0.25,10.583333333333334,12.0,0.004726081649917041,0.004726081646117391,0.001973565638112825,0.0,0.0,127.75,15.0,4095.5
rgv_h4,rgv,scalar_linear,13506.5,1024.0,1024.0,1024.0,1.6840460357499676,1003.0833333333334,1.0,0.10433366018031615,0.0020011556260590836,0.0017586348305554998,0.8541666666666666,0.25,10.5,12.0,0.0020011556260590836,0.002001155624368325,0.0017586348274195665,0.0,0.0,514.1666666666666,15.0,5226.833333333333
rgv_h4,rgv,unguarded_linear,13506.5,1024.0,1024.0,1024.0,1.7029163537499699,1000.0833333333334,1.0,0.10469748060076273,0.009168714034475375,0.00292309129999995,0.8055555555555555,0.25,9.833333333333334,12.0,0.009168714034475375,0.009168714028534823,0.00292309129580735,0.0,0.0,213.58333333333334,15.0,5307.0
tour_h1,tour,fast_v10,13506.5,1024.0,1024.0,1024.0,0.8062768911666657,978.75,1.0,0.12216193954030141,0.00038375570668196663,0.0004905672679824334,0.9342105263157895,0.3333333333333333,17.833333333333332,19.0,0.00038375570668196663,0.0003837557072746,0.0004905672687501667,0.0,0.0,0.0,0.0,0.0
tour_h1,tour,guarded_linear,13506.5,1024.0,1024.0,1024.0,1.85692962283332,984.0,1.0,0.10130519053083976,9.976277975836668e-05,0.00016187225745613334,0.9780701754385964,0.75,18.583333333333332,19.0,9.976277975836668e-05,9.976278032124168e-05,0.00016187225807202498,0.0,0.0,36.0,15.0,4685.333333333333
tour_h1,tour,no_uncertainty_linear,13506.5,1024.0,1024.0,1024.0,1.8722359425833208,983.0,1.0,0.10009237474131556,0.0002356631505024667,0.000361027757017525,0.9429824561403509,0.3333333333333333,17.916666666666668,19.0,0.0002356631505024667,0.00023566315187728334,0.00036102775831670835,0.0,0.0,27.416666666666668,15.0,4599.666666666667
