task,kind,partition,algorithm,seed,budget,fe,physical_calls,seconds,unique_evaluated,audit_pass,auc,final_gap,igd,recall,hit,front_size,reference_size,observed_gap,raw_final_gap,raw_igd,audit_fallbacks,model_authorized,model_fits,surrogate_predictions,stage,overrides
rgv_g1,rgv,development,guarded_linear,13103,512,512,512,0.6742388129998744,507,True,0.0369470197282482,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2484,dev3,187.0
tour_dev,tour,development,unguarded_linear,13104,512,512,512,0.6076805539998986,509,True,0.0971142977072909,0.0002844192662249,0.0005797032892857,0.8928571428571429,False,25.0,28.0,0.0002844192662249,0.0002844192675965,0.0005797032878779,0,0,7,2827,dev3,36.0
rgv_g1,rgv,development,guarded_linear,13104,512,512,512,0.6790631640001266,505,True,0.1264970832370806,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2618,dev3,159.0
rgv_dev,rgv,development,random_residual,13101,512,512,512,0.7917428860000655,491,True,0.1778966672287497,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev3,187.0
rgv_dev,rgv,development,fast_v10,13103,512,512,512,0.458784487999992,494,True,0.0291861859400717,0.0081341092577206,0.0042372881249999,0.75,False,3.0,4.0,0.0081341092577206,0.0081341092780609,0.0042372881355932,0,0,0,0,dev3,0.0
rgv_dev,rgv,development,nsga2_typed,13103,512,512,512,0.2262808630000563,510,True,0.0669758025784501,0.0078955723096997,0.0042372881249999,0.75,False,4.0,4.0,0.0078955723096997,0.0078955723490855,0.0042372881355932,0,0,0,0,dev3,0.0
job_dev,job,development,unguarded_linear,13101,512,512,512,0.6336462149999988,510,True,0.0768928938769648,0.0023322704319269,0.000703892425,0.90625,False,29.0,32.0,0.0023322704319269,0.0023322704358058,0.0007038924260769,0,0,7,2856,dev3,52.0
tour_dev,tour,development,raw_linear,13103,512,512,512,0.6413015309999537,508,True,0.1178875138608846,0.0121596656566517,0.0060340382785714,0.7142857142857143,False,20.0,28.0,0.0121596656566517,0.0121596656608256,0.0060340382808441,0,0,7,2648,dev3,22.0
rgv_dev,rgv,development,nsga2_guarded,13101,512,512,512,0.5254645630000141,512,True,0.0997984839864302,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,3043,dev3,138.0
tour_dev,tour,development,nsga2_typed,13102,512,512,512,0.2386483499999485,506,True,0.2074786069870592,0.0173192634169692,0.0087884269214285,0.5714285714285714,False,18.0,28.0,0.0173192634169692,0.0173192633903788,0.0087884269062725,0,0,0,0,dev3,0.0
rgv_g1,rgv,development,no_uncertainty_linear,13101,512,512,512,0.6914688840001872,506,True,0.0801144441109213,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2465,dev3,153.0
rgv_g1,rgv,development,random_residual,13102,512,512,512,0.3994562400000632,511,True,0.0826494601686986,0.0020245407192492,0.0016088143499999,0.75,False,5.0,4.0,0.0020245407192492,0.0020245407229513,0.001608814352574,0,0,0,0,dev3,281.0
job_dev,job,development,scalar_linear,13103,512,512,512,0.5989191229998596,510,True,0.1010485947662197,0.0042328808104489,0.00174976004375,0.8125,False,27.0,32.0,0.0042328808104489,0.0042328808130842,0.0017497600420063,0,0,7,2511,dev3,261.0
rgv_g1,rgv,development,no_uncertainty_linear,13104,512,512,512,0.7795356330000232,506,True,0.126098310064986,0.0,0.0,1.0,True,4.0,4.0,0.0,0.0,0.0,0,0,7,2374,dev3,116.0
