task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
tour_new2,fast_h0,74512,10656,1168,19,740,0,0,0,4.194993412384717,8.0
tour_new4,refit32,74507,18904,1447,26,714,0,0,0,4.798648648648649,8.0
tour_new4,h0,74505,0,0,0,0,0,0,0,,
job_new1,h0,74503,0,0,0,0,0,0,0,,
job_new3,h0,74508,0,0,0,0,0,0,0,,
rgv_new3,local24,74511,15988,2597,16,744,71,689,35157,13.085526315789474,25.0
tour_new2,fast_h0,74508,10765,1308,40,724,0,0,0,4.4934554973821985,8.0
tour_new2,h0,74511,0,0,0,0,0,0,0,,
job_new2,fast_h0,74503,11505,1566,39,735,0,0,0,5.724806201550388,8.0
rgv_new3,h0,74506,0,0,0,0,0,0,0,,
job_new3,h0,74507,0,0,0,0,0,0,0,,
job_new1,local24,74502,14946,1293,36,734,37,733,26335,9.86883116883117,25.0
rgv_new3,local24,74502,15657,2585,15,753,64,704,38571,12.502604166666666,25.0
job_new3,h0,74503,0,0,0,0,0,0,0,,
rgv_new4,fast_h0,74503,10689,1760,14,774,0,0,0,4.833756345177665,8.0
job_new3,local24,74503,16848,1558,36,742,36,742,31298,12.552699228791774,25.0
job_new2,fast_h0,74501,11386,1634,43,718,0,0,0,5.755584756898817,8.0
job_new4,fast_h0,74505,10981,1427,54,713,0,0,0,4.912646675358539,8.0
rgv_new4,refit32,74502,19014,1991,21,757,0,0,0,5.404884318766067,8.0
tour_new2,fast_h0,74509,10823,1438,32,729,0,0,0,4.758212877792379,8.0
tour_new1,local24,74509,17905,1606,47,724,46,725,31213,14.099870298313878,25.0
job_new3,fast_h0,74512,11323,1756,39,697,0,0,0,6.03125,8.0
tour_new4,local24,74503,15531,1477,38,713,40,711,26786,11.14247669773635,25.0
job_new1,refit32,74501,18860,1121,18,735,0,0,0,4.224435590969455,8.0
rgv_new3,h0,74505,0,0,0,0,0,0,0,,
tour_new2,h0,74506,0,0,0,0,0,0,0,,
tour_new1,refit32,74504,19675,1585,39,737,0,0,0,5.747422680412371,8.0
tour_new1,fast_h0,74507,11507,1554,30,748,0,0,0,5.682519280205655,8.0
tour_new3,local24,74503,15161,1301,33,750,34,749,29306,9.989782886334611,25.0
tour_new4,refit32,74505,19250,1479,40,725,0,0,0,5.135947712418301,8.0
rgv_new3,refit32,74505,18517,1923,13,757,0,0,0,4.7272727272727275,8.0
rgv_new3,local24,74505,15282,2208,14,754,48,720,36876,11.5234375,25.0
job_new2,local24,74501,16645,1487,40,701,41,700,28255,12.809716599190283,25.0
rgv_new3,refit32,74506,18471,1883,11,737,0,0,0,4.751336898395722,8.0
rgv_new1,refit32,74511,19255,2373,11,754,0,0,0,6.311111111111111,8.0
tour_new3,fast_h0,74504,10631,1164,22,748,0,0,0,4.097402597402597,8.0
tour_new2,h0,74508,0,0,0,0,0,0,0,,
rgv_new3,h0,74512,0,0,0,0,0,0,0,,
rgv_new1,fast_h0,74509,11466,2183,8,751,0,0,0,6.599472990777339,8.0
rgv_new4,refit32,74511,18962,1926,16,737,0,0,0,5.428950863213811,8.0
tour_new3,refit32,74512,18467,1113,16,756,0,0,0,3.6010362694300517,8.0
job_new1,local24,74509,14443,1034,19,771,25,765,26258,8.654430379746836,25.0
rgv_new1,local24,74508,18343,2283,10,768,50,728,41148,15.406169665809768,25.0
tour_new3,refit32,74504,18676,1157,22,725,0,0,0,4.0602409638554215,8.0
job_new3,refit32,74503,19038,1417,38,695,0,0,0,4.986357435197817,8.0
rgv_new4,local24,74511,15980,2520,18,757,78,697,35940,12.72258064516129,25.0
rgv_new4,h0,74501,0,0,0,0,0,0,0,,
job_new1,fast_h0,74504,10768,1166,24,733,0,0,0,4.351387054161163,8.0
job_new3,local24,74508,17235,1774,52,720,50,722,30220,13.431347150259068,25.0
rgv_new2,h0,74502,0,0,0,0,0,0,0,,
job_new3,h0,74511,0,0,0,0,0,0,0,,
job_new3,h0,74512,0,0,0,0,0,0,0,,
tour_new2,fast_h0,74504,11186,1379,30,750,0,0,0,5.032051282051282,8.0
