task,kind,algorithm,auc,final_gap,igd,recall,seconds,extra_pure_proposals,neighbor_builds,neighbor_filter_checks,predictions,overrides
rgv_new4,rgv,nsga2_typed,0.13290418976428836,0.010380765971950983,0.010116882843891017,0.7380952380952381,1.3248872636666345,0.0,0.0,0.0,0.0,0.0
rgv_new4,rgv,nsga_local24,0.106916170960425,0.0033677617902150153,0.0009464328431355583,0.8452380952380952,1.5610309764999972,0.0,105.41666666666667,38578.083333333336,15710.333333333334,272.75
rgv_new4,rgv,refit32,0.08339276171731169,0.0015595135132887416,0.000444657435714275,0.9166666666666666,3.763990649166658,34345.833333333336,0.0,0.0,4999.75,233.33333333333334
tour_new1,tour,fast_h0,0.07540528954942488,0.00023926299251139998,0.00014897695714279999,0.9761904761904763,2.6747397354999976,32232.75,0.0,0.0,5333.166666666667,40.833333333333336
tour_new1,tour,fast_v10,0.09330180392124199,0.0016198688055314393,0.0008592658322633262,0.9047619047619048,2.5657958384166,0.0,0.0,0.0,0.0,0.0
tour_new1,tour,h0,0.07540528954942488,0.00023926299251139998,0.00014897695714279999,0.9761904761904763,4.814842687499994,32232.75,0.0,0.0,5333.166666666667,40.833333333333336
tour_new1,tour,local24,0.07339734304062553,0.000269170866575325,0.00016759907678565001,0.9732142857142859,1.965874005000008,0.0,42.916666666666664,30594.083333333332,11503.916666666666,48.333333333333336
tour_new1,tour,local24_random,0.09298392328649129,0.0018564149842356225,0.0009690525767326428,0.9285714285714287,0.9128454970833199,0.0,52.5,27842.166666666668,0.0,454.8333333333333
tour_new1,tour,nsga2_typed,0.11513465163229257,0.002384795534800102,0.0013839471902902035,0.8928571428571429,2.0618126161666623,0.0,0.0,0.0,0.0,0.0
tour_new1,tour,nsga_local24,0.09114219833086956,0.00017944724438355,0.0001117327178571,0.9821428571428572,1.8377920147499935,0.0,74.16666666666667,28586.166666666668,11153.583333333334,76.91666666666667
tour_new1,tour,refit32,0.07351652268780323,0.000209355118447475,0.00013035483749995,0.9791666666666666,3.4438747245833574,32584.333333333332,0.0,0.0,5340.083333333333,39.916666666666664
tour_new2,tour,fast_h0,0.09523096598055547,7.148743071675834e-05,3.617013627448333e-05,0.9803921568627451,3.130651530750015,39689.333333333336,0.0,0.0,4526.083333333333,28.833333333333332
tour_new2,tour,fast_v10,0.1142922262073211,0.00017521325071212502,8.676384705879166e-05,0.9656862745098039,2.2652832101666434,0.0,0.0,0.0,0.0,0.0
tour_new2,tour,h0,0.09523096598055547,7.148743071675834e-05,3.617013627448333e-05,0.9803921568627451,5.62302639983336,39689.333333333336,0.0,0.0,4526.083333333333,28.833333333333332
tour_new2,tour,local24,0.08726630429718973,0.0,0.0,1.0,1.9412351981666802,0.0,27.75,32736.833333333332,9505.166666666666,32.333333333333336
tour_new2,tour,local24_random,0.10674980628578555,0.00011251170089535,5.6407620588208335e-05,0.9754901960784313,0.9837160350833661,0.0,37.916666666666664,31261.916666666668,0.0,411.6666666666667
tour_new2,tour,nsga2_typed,0.15645064484864996,0.0021357338450758915,0.0015396930528163,0.8627450980392156,2.171213631249941,0.0,0.0,0.0,0.0,0.0
tour_new2,tour,nsga_local24,0.11185963332152547,0.00018948634530720836,9.544764509800833e-05,0.9656862745098039,1.6985779768333014,0.0,73.0,29551.416666666668,10964.166666666666,60.083333333333336
tour_new2,tour,refit32,0.09300341884667097,1.6603383692858332e-05,8.683798039208333e-06,0.9950980392156863,4.364264879416709,39070.666666666664,0.0,0.0,4656.916666666667,27.416666666666668
tour_new3,tour,fast_h0,0.09615483937160639,0.00026396469239804997,0.00023941277192981666,0.9912280701754387,4.0429159760000175,46529.0,0.0,0.0,3892.75,22.583333333333332
tour_new3,tour,fast_v10,0.11108864021575902,0.0018244140275257583,0.000934745373684175,0.9605263157894738,3.041502828499991,0.0,0.0,0.0,0.0,0.0
tour_new3,tour,h0,0.09615483937160639,0.00026396469239804997,0.00023941277192981666,0.9912280701754387,6.967553399833339,46529.0,0.0,0.0,3892.75,22.583333333333332
tour_new3,tour,local24,0.0922156835099,0.0,0.0,1.0,2.1204322140000045,0.0,29.083333333333332,28475.916666666668,8088.5,26.333333333333332
tour_new3,tour,local24_random,0.11148930958140561,0.0008966978063800834,0.0006106429736841751,0.9605263157894738,1.2357377560833338,0.0,35.833333333333336,27315.5,0.0,358.5833333333333
tour_new3,tour,nsga2_typed,0.1609375398296122,0.002865189251319258,0.0015283877175438082,0.9429824561403509,2.4923827359166544,0.0,0.0,0.0,0.0,0.0
tour_new3,tour,nsga_local24,0.12451242055182958,3.2783721903123204e-07,3.79433421052616e-06,0.9956140350877193,1.64573685583332,0.0,73.0,27284.0,9673.25,50.083333333333336
tour_new3,tour,refit32,0.09252178261724887,0.0,0.0,1.0,4.697985303916653,45706.75,0.0,0.0,3990.5833333333335,21.333333333333332
tour_new4,tour,fast_h0,0.06794930322243935,0.0003203378034011667,9.939008709676803e-05,0.9704301075268816,3.2185139634999587,40129.333333333336,0.0,0.0,4661.333333333333,35.416666666666664
tour_new4,tour,fast_v10,0.08250047519395416,0.0021837906855971165,0.0008024205811827589,0.8790322580645161,3.203486286166651,0.0,0.0,0.0,0.0,0.0
tour_new4,tour,h0,0.06794930322243935,0.0003203378034011667,9.939008709676803e-05,0.9704301075268816,5.363990607666646,40129.333333333336,0.0,0.0,4661.333333333333,35.416666666666664
tour_new4,tour,local24,0.06487387447388307,0.00027198775730371665,0.00010204070752685727,0.967741935483871,2.039767602833327,0.0,40.083333333333336,27496.25,9863.666666666666,41.083333333333336
tour_new4,tour,local24_random,0.07764910473170805,0.0009955592833102084,0.0005336891709676946,0.8870967741935484,1.0092370890000002,0.0,46.583333333333336,25728.0,0.0,427.8333333333333
tour_new4,tour,nsga2_typed,0.10410998960745228,0.0010035074763169716,0.00042322477661287913,0.9032258064516129,2.3085685500833506,0.0,0.0,0.0,0.0,0.0
tour_new4,tour,nsga_local24,0.08130863222386497,0.00020518227922944167,6.344945376343624e-05,0.9758064516129031,1.3852404434166772,0.0,69.66666666666667,28325.416666666668,10979.916666666666,70.08333333333333
tour_new4,tour,refit32,0.06758106463300227,0.00013072669453220834,5.47637432795626e-05,0.9731182795698925,4.184762344083329,40431.083333333336,0.0,0.0,4610.25,37.083333333333336
